347,NWL,15,28,7784173,22,63,Consumer Discretionary,HIGH,GROWTH,BUDGET
348,NWS,11,17,616406,14,43,Communication Services,LOW,GROWTH,BUDGET
349,NWSA,11,17,2864641,14,44,Communication Services,HIGH,GROWTH,BUDGET
350,O,49,74,1987886,60,42,Real Estate,LOW,GROWTH,BUDGET
351,OKE,50,72,2438315,65,33,Energy,HIGH,STABLE,BUDGET
352,OMC,66,79,2202992,73,18,Communication Services,LOW,STABLE,BUDGET
353,ORCL,42,55,17636291,49,25,Information Technology,HIGH,STABLE,BUDGET
354,ORLY,218,409,697418,327,59,Consumer Discretionary,LOW,GROWTH,ANY
355,OXY,57,88,4809331,74,42,Energy,HIGH,GROWTH,BUDGET
356,PAYX,60,82,2121336,70,32,Information Technology,LOW,STABLE,BUDGET
357,PBCT,14,19,3513517,17,33,Financials,HIGH,STABLE,BUDGET
358,PCAR,53,73,2095844,64,30,Industrials,LOW,STABLE,BUDGET
